"gene_name" "rank"
"HPF1" "HPF1" -3.44098020337415
"CRNKL1" "CRNKL1" -3.43227814953665
"HLA-J" "HLA-J" 3.42520906204179
"AC129492.3" "AC129492.3" 3.41817535601127
"SMC3" "SMC3" -3.4181521285146
"AC010733.2" "AC010733.2" -3.414124747441
"CDC27" "CDC27" -3.41029777295181
"KDM5D" "KDM5D" 3.40279530812861
"IQGAP2" "IQGAP2" -3.39998973450372
"CUL1" "CUL1" -3.39929357607044
"U2AF2" "U2AF2" 3.39790413389269
"PUS10" "PUS10" -3.39106673804912
"AIG1" "AIG1" 3.39041038470919
"ZCCHC7" "ZCCHC7" -3.38712155614062
"FUNDC1" "FUNDC1" -3.38392897897226
"TRIM38" "TRIM38" -3.3795127545248
"PRPF18" "PRPF18" -3.37420035515725
"PANK2" "PANK2" -3.37055144052948
"CTBP1" "CTBP1" 3.3686556649961
"GFM2" "GFM2" -3.35964477737326
"MASTL" "MASTL" -3.35719848438091
"ITFG1" "ITFG1" -3.35547204588245
"RDH14" "RDH14" -3.35041647840755
"TNFAIP8" "TNFAIP8" -3.34958450265518
"AKR1B1" "AKR1B1" 3.34777807514026
"DDX1" "DDX1" -3.34705395149859
"RPL13P12" "RPL13P12" 3.33860948158243
"SCLT1" "SCLT1" -3.33848201821998
"GTPBP8" "GTPBP8" -3.33216751752945
"PDS5B" "PDS5B" -3.32469636009291
"THOC7" "THOC7" -3.31859992850901
"IMMT" "IMMT" -3.31108275394428
"UTP18" "UTP18" -3.31056795773372
"NCBP2" "NCBP2" -3.30958636826923
"IRF4" "IRF4" -3.30504586533332
"MORN1" "MORN1" 3.30456960931679
"C3orf62" "C3orf62" -3.30454513198032
"FCGR2B" "FCGR2B" -3.30369206909348
"NKILA" "NKILA" 3.30327341227486
"KRR1" "KRR1" -3.30237579626454
"KPNA2" "KPNA2" -3.30087738676497
"GORASP1" "GORASP1" 3.29901321843833
"B4GALT3" "B4GALT3" 3.29895337474668
"ARHGEF35-AS1" "ARHGEF35-AS1" 3.29340037029669
"IFT74" "IFT74" -3.29026745532323
"KHSRP" "KHSRP" 3.29009385892087
"TRIP12" "TRIP12" -3.28362912191563
"MAU2" "MAU2" 3.28284044195642
"GYG1" "GYG1" -3.27858489660145
"TIGD5" "TIGD5" 3.27785021228407
"VPS29" "VPS29" -3.27383071529528
"HMGB1P5" "HMGB1P5" -3.27017688896173
"FARSB" "FARSB" -3.2661865231613
"DDX51" "DDX51" 3.2625494290621
"ZNF592" "ZNF592" 3.26058055727112
"PTGES3P1" "PTGES3P1" -3.25877902339431
"SYF2" "SYF2" -3.25674827172538
"AC108134.3" "AC108134.3" -3.24716221253514
"SIRT6" "SIRT6" 3.24469376448908
"RECQL" "RECQL" -3.24240437093488
"POLR2E" "POLR2E" 3.2388243974325
"TBC1D24" "TBC1D24" 3.23691832481787
"PRMT2" "PRMT2" 3.23486629383928
"ATXN10" "ATXN10" -3.23406505847232
"TASOR" "TASOR" -3.23241976384192
"MEA1" "MEA1" 3.2321776139474
"SPDYE5" "SPDYE5" 3.23210008277787
"LSM7" "LSM7" 3.23137297285242
"PCNP" "PCNP" -3.23016309156793
"INTS13" "INTS13" -3.22921283313454
"NSA2" "NSA2" -3.22712811502801
"ZNF483" "ZNF483" 3.22654462437164
"TGS1" "TGS1" -3.22642226518895
"ZNF595" "ZNF595" -3.22620579489474
"SH3TC1" "SH3TC1" 3.22529978499832
"DAPP1" "DAPP1" -3.2248732237463
"DNAJB2" "DNAJB2" 3.21901690594551
"RNF5" "RNF5" 3.21820256405854
"SH3BGRL" "SH3BGRL" -3.21818518841468
"ZNF506" "ZNF506" -3.21768417978653
"RNASEH2C" "RNASEH2C" 3.21747292562741
"OTUD6B-AS1" "OTUD6B-AS1" -3.21681542123287
"MAP3K10" "MAP3K10" 3.21600977069504
"RFNG" "RFNG" 3.21511869812152
"BMS1" "BMS1" -3.21317881970798
"TMEM87A" "TMEM87A" -3.21185849405458
"NMI" "NMI" -3.2117048313812
"OR6N2" "OR6N2" 3.21151027899977
"GPBP1" "GPBP1" -3.20800314978929
"CLDN15" "CLDN15" 3.20638504499875
"RSRP1" "RSRP1" -3.20202995634536
"LINC-PINT" "LINC-PINT" 3.19926524263506
"SSB" "SSB" -3.19826154119038
"ZNF235" "ZNF235" -3.19681242584792
"TASL" "TASL" -3.19608417001339
"ZNF680" "ZNF680" -3.19573001439199
"MIR3667HG" "MIR3667HG" 3.19220684586435
"NKAPD1" "NKAPD1" -3.19153184280981
"STRAP" "STRAP" -3.18523374108674
"FAM204A" "FAM204A" -3.18332206428347
"KXD1" "KXD1" 3.18320052928202
"SSR4" "SSR4" 3.18194783971951
"ZBTB6" "ZBTB6" -3.1802458572205
"AC093278.2" "AC093278.2" -3.1793783658845
"GUF1" "GUF1" -3.17913322999544
"TLR8" "TLR8" -3.17882345834545
"CDC5L" "CDC5L" -3.17531273303056
"AC105052.3" "AC105052.3" 3.17453618549912
"DENND4B" "DENND4B" 3.16419315176468
"GATAD2A" "GATAD2A" 3.16366780166844
"COPS2" "COPS2" -3.16349379976891
"SHLD2" "SHLD2" -3.16207850285053
"SERPINB1" "SERPINB1" -3.15887813484646
"ERLEC1" "ERLEC1" -3.15727811203307
"MRPL44" "MRPL44" -3.1564300243475
"PIK3R5" "PIK3R5" 3.15517471006453
"APAF1" "APAF1" -3.15438854830238
"SYNCRIP" "SYNCRIP" -3.15379511153163
"NME1-NME2" "NME1-NME2" 3.15333338523882
"RRP36" "RRP36" -3.14828304665259
"UCKL1" "UCKL1" 3.14664925833738
"TTC7B" "TTC7B" 3.14487810236186
"AP1S1" "AP1S1" 3.13981612497267
"POLR1F" "POLR1F" -3.13842247185074
"CDK6" "CDK6" -3.13591819609283
"ARPC2" "ARPC2" -3.13570943407876
"AL353795.3" "AL353795.3" 3.13532050925552
"GUSBP11" "GUSBP11" 3.13362048888838
"STK25" "STK25" 3.13216803346103
"NPAT" "NPAT" -3.13080573605702
"POLR1G" "POLR1G" 3.13059059776921
"PHF11" "PHF11" -3.12971831369733
"PARN" "PARN" -3.12684264212615
"GLYR1" "GLYR1" 3.12464706081628
"NME4" "NME4" 3.12310457368739
"ZNF852" "ZNF852" 3.12137851122124
"ULK3" "ULK3" 3.11964966509237
"SEPTIN7" "SEPTIN7" -3.11443977503521
"CTSO" "CTSO" -3.11238913793534
"AC005253.1" "AC005253.1" 3.10977618958238
"EIF2D" "EIF2D" 3.10555341556251
"PMPCB" "PMPCB" -3.10213976230516
"ZNF316" "ZNF316" 3.09867071000263
"SLC38A6" "SLC38A6" -3.09438692127125
"VPS13C" "VPS13C" -3.09334175774628
"ZNF613" "ZNF613" -3.09280730225413
"FSCN1" "FSCN1" -3.09201138746443
"ZNF888" "ZNF888" -3.09093298354881
"TIMM17B" "TIMM17B" 3.090316065458
"PHB" "PHB" 3.08847045187378
"KCNQ1OT1" "KCNQ1OT1" 3.08653866816372
"ERP44" "ERP44" -3.08563228471582
"TM9SF1" "TM9SF1" 3.08544835730541
"ADA2" "ADA2" -3.08429570426297
"ARHGEF16" "ARHGEF16" 3.08400261939052
"CCDC112" "CCDC112" -3.08387149550565
"TMEM9B" "TMEM9B" -3.07562563444259
"DVL1" "DVL1" 3.07315038097737
"ZBTB4" "ZBTB4" 3.07307300936554
"RITA1" "RITA1" 3.07261113678578
"EIF4G2" "EIF4G2" -3.06580887336598
"RCN1" "RCN1" -3.0635144746732
"HIGD1A" "HIGD1A" -3.05765131845999
"EEF1AKMT4" "EEF1AKMT4" 3.05587488287422
